Message Size,SHA3-256(MB/s),SHA3-384(MB/s),SHA3-512(MB/s),SHA3-256 Latency(ms),SHA3-384 Latency(ms),SHA3-512 Latency(ms),SHA3-256 Cycles/byte,SHA3-384 Cycles/byte,SHA3-512 Cycles/byte
1024,434.04,349.29,233.97,0.002359,0.002932,0.004377,7.83,9.73,14.53
2048,435.85,349.74,242.38,0.004699,0.005856,0.008449,7.80,9.72,14.03
4096,450.56,350.36,246.82,0.009091,0.011691,0.016595,7.55,9.70,13.78
8192,452.67,355.08,246.90,0.018097,0.023071,0.033180,7.51,9.58,13.77
16384,461.81,355.26,247.07,0.035478,0.046118,0.066313,7.36,9.57,13.76
32768,464.28,354.98,246.81,0.070579,0.092309,0.132765,7.32,9.58,13.78
65536,463.96,355.71,246.89,0.141254,0.184242,0.265447,7.33,9.56,13.77
131072,463.51,355.41,246.17,0.282782,0.368786,0.532445,7.34,9.57,13.81
262144,461.83,354.54,246.20,0.567619,0.739399,1.064772,7.36,9.59,13.81
524288,461.74,355.02,247.51,1.135456,1.476770,2.118286,7.36,9.58,13.74
1048576,462.42,355.85,248.76,2.267565,2.946696,4.215175,7.35,9.55,13.67
